height,found_at,value,pool_scoring_hashrate_ghps,user_scoring_hashrate_ghps,user_reward
736131,2022-05-13 01:34:54,6.42614468,12477920016.601599,2093289.4101769913,0.00105649
736180,2022-05-13 09:15:56,6.38944647,12730523381.870667,2085910.2637219285,0.00102598
736185,2022-05-13 09:47:03,6.43693857,12776087691.557455,2094148.83912454,0.00103399
736199,2022-05-13 11:37:01,6.50631852,12772558740.697517,2095443.2536163572,0.00104607
736220,2022-05-13 14:16:40,6.44126683,12702209927.024343,2092873.9156471197,0.00104006
736221,2022-05-13 14:20:18,6.41527058,12710764276.34682,2103516.8714444335,0.00104044
736229,2022-05-13 15:32:24,6.46520812,12675353522.559837,2108264.787071446,0.00105384
736237,2022-05-13 16:55:42,6.43515616,12600056370.389626,2115827.6735803927,0.00105900
736243,2022-05-13 17:36:34,6.43882072,12608789185.47959,2100349.073110026,0.00105112
736247,2022-05-13 18:42:46,6.47524066,12422908295.624205,2124965.9708510893,0.00108546
736253,2022-05-13 20:08:03,6.58593869,12344385178.907701,2118521.6813524994,0.00110766
736270,2022-05-13 23:36:46,6.46198268,10899005411.05786,2104646.2882738207,0.00122288
736297,2022-05-14 04:05:50,6.43656771,11656711770.180807,2104332.3823386077,0.00113872
736303,2022-05-14 05:06:13,6.42302577,11727548716.423294,2103712.8797022835,0.00112914
736308,2022-05-14 05:59:33,6.38551410,11702724945.900633,2105286.4260998187,0.00112577
736315,2022-05-14 07:18:40,6.42263415,11689797315.258297,2103226.0873023393,0.00113245
736345,2022-05-14 11:38:02,6.35099677,11848841138.16332,2112528.202760121,0.00110967
736351,2022-05-14 12:21:00,6.35589992,11813084207.97838,2106457.566967476,0.00111069
736369,2022-05-14 15:46:35,6.41457356,11693949706.800013,2102252.2179940627,0.00113011
736380,2022-05-14 18:46:35,6.51154405,11514411272.246946,1301236.5206532485,0.00072115
736404,2022-05-14 21:42:16,6.36399131,10812572605.253937,1364648.004585911,0.00078714
736455,2022-05-15 08:09:56,6.37848220,11122571903.005484,1352889.127151003,0.00076032
736456,2022-05-15 08:26:34,6.40425954,11185729282.709835,1357138.2219494942,0.00076147
736475,2022-05-15 12:47:28,6.56653008,11447353883.040115,1367347.78275549,0.00076866
736484,2022-05-15 14:34:14,6.44926752,11509871033.81479,1356219.7964889877,0.00074472
736495,2022-05-15 16:58:15,6.33174558,11360736561.593948,1353853.0635619722,0.00073946
736503,2022-05-15 17:15:07,6.32820269,11300685640.891129,1355291.9680392926,0.00074376
736546,2022-05-16 01:37:55,6.32764729,11296923625.059118,1342086.9229395837,0.00073816
736550,2022-05-16 02:19:09,6.33672244,11407988071.444191,1342964.790948756,0.00073283
736552,2022-05-16 02:29:10,6.28629238,11395636414.169538,1346871.0796972495,0.00072988
736564,2022-05-16 03:51:31,6.28982323,11405274952.180397,1340836.8138524261,0.00072650
736598,2022-05-16 08:30:38,6.45010314,11129064457.364845,1355180.2485539664,0.00077184
736622,2022-05-16 12:46:15,6.35854557,11400567922.395777,1356851.8483019213,0.00074367
736649,2022-05-16 17:01:25,6.41623754,11647146639.249516,1354906.8826936227,0.00073347
736684,2022-05-16 21:34:50,6.47594797,11214898696.218914,1359959.5663925607,0.00077167
736688,2022-05-16 22:31:37,6.43919742,11586844335.375029,1375473.4327367928,0.00075110
736705,2022-05-17 00:34:14,6.35705918,12155732811.686024,1369672.7908486964,0.00070388
736717,2022-05-17 02:20:50,6.27894173,12275456379.158133,1366410.3705986375,0.00068685
736719,2022-05-17 03:24:59,6.40738217,12364952115.260885,1359259.1673277023,0.00069216
736726,2022-05-17 04:32:31,6.39475133,12450541175.90315,1376468.597020358,0.00069476
736741,2022-05-17 06:59:44,6.41986020,12514862486.545826,1345488.342470799,0.00067824
736780,2022-05-17 12:34:40,6.38763967,12615116285.222311,1362579.200836467,0.00067789
736802,2022-05-17 16:10:24,6.48204269,12471707047.302874,1357732.382583859,0.00069340
736811,2022-05-17 17:22:06,6.31805102,12431937958.869461,1354756.3882900823,0.00067661
